candidate_id,tweet_id,thread_id,customer_id,target_message,preceding_context,provisional_intent,boundary_tags,rule_coverage_tags,representative_or_targeted,context_dependent,unknown_subtype,thread_length,target_message_length,selection_reason,review_notes,is_fanout_thread
CAND_0011,770810,770810,304080,"@115888 Ive sent an artist separation request 2 weeks ago,Please move my track to my artist profile so I can share my music #SpotifySingles",,ARTIST_SUPPORT,,artist_profile_metadata,targeted,False,,2,139,artist separation request submitted; asking to move track to correct artist profile,,False
CAND_0012,776162,776163,305457,"@SpotifyCares Used CDBaby to distribute with you.They say it's been delivered to you, but it's not up on our artist page yet. Any ideas? Release date 2day","Customer: @SpotifyCares Hey team., wondering if time difference between the US and AUS might affect my song being available. Released, but not there | SpotifyCares: @305457 Hey there! Can you send us the Spotify URI? Just right-click the track &gt; Share &gt; URI. We'll check /RH",ARTIST_SUPPORT,,artist_profile_metadata,targeted,True,,6,154,distributor (CDBaby) delivered release but not showing on creator's artist page -- distributor/release workflow,,False
CAND_0013,539176,539176,245020,"@SpotifyCares Is it at all possible to get ""Satie: Vexations (840 Times)"" to be removed from Erik Satie's Artist page? It's a joke, I know, but it's really annoying to have to scroll so far to get to any of his other music. It's the same song literally 840 times.",,FEATURE_FEEDBACK,"E,F",,targeted,False,,2,263,"listener wants a specific (joke) track removed from an artist's page -- listener-perspective, not creator-side","QA CORRECTED (was CONTENT_CATALOG): customer wants a specific track delisted/reordered for browsing convenience, not because it is missing/wrong -- matches the guide's 'new way to browse/manage content' -> FEATURE_FEEDBACK rule.",False
CAND_0014,2052421,2052421,606978,"@SpotifyCares  Report Albums 

On the Heathen artist page: https://t.co/aFV6iSa3yJ there is a mistplaced album.",,CONTENT_CATALOG,F,,targeted,False,,2,111,"listener reporting a misplaced album on an artist's page -- catalog/metadata report, not creator-side management",,False
CAND_0015,622817,622817,267829,May I ask why Dan Black has two different artist profiles? @115888 @SpotifyCares,,CONTENT_CATALOG,F,,targeted,False,,7,80,genuinely ambiguous whether the customer is the artist or a curious fan asking about duplicate profiles; defaulted to listener-perspective absent self-identification as the artist,"FLAG: annotator should judge if any additional context indicates the customer is the artist QA: kept CONTENT_CATALOG/boundary F -- third-person phrasing ('May I ask why Dan Black has...') suggests a fan/listener, not the artist self-reporting; genuine ambiguity remains for annotator judgment.",False
CAND_0016,1620802,1620804,496717,"@125633 having trouble with that, every time I make a playlist and try to find it to showcase on my artist page.. I can’t find it when searching",Customer: Artist playlists are a great way to give your fans an inside look at the songs that inspire you. https://t.co/RbpuQd2nog https://t.co/4qdWZUdjdE,APP_TECH_ISSUE,F,,targeted,True,,5,144,"creator has an artist page, but the actual complaint is a search malfunction (can't find own playlist to add) -- technical, not a profile/metadata issue",QA: preceding-context speaker label may be unreliable in source data (reads like a Spotify promotional message despite being tagged Customer) -- target message is still independently interpretable as a search malfunction; recommend annotator treat that one context line with caution.,False
CAND_0017,2883054,2883055,799854,"@SpotifyCares I see that in Android mobile and Windows PC.
When see Strauss autor can see Tchaikovsky song as most played, and song of a band named Strauss.","Customer: @SpotifyCares I think that something is wrong... When a button to report possible mistakes? https://t.co/rEmOzJfgby | SpotifyCares: @799854 Hey there. Can you tell us more about what's happening? Also, what device, operating system, and Spotify version are you on? /AY",CONTENT_CATALOG,F,,targeted,True,,6,156,"listener confused by cross-artist metadata mixup while browsing -- catalog/metadata issue, not creator-side",,False
CAND_0018,2623509,2623509,741148,@SpotifyCares My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,,ACCOUNT_ACCESS,A,,targeted,False,,2,144,hacked and locked out of password reset + email change -- primary need is regaining access,,False
CAND_0019,1840067,1840067,551457,@SpotifyCares There is an hacker on my account and I can not make him stop using my account. I have triede to resign alle my devices.,,ACCOUNT_ACCESS,A,,targeted,False,,2,133,"hacker actively using account, customer cannot stop them -- primary need is investigating/stopping unauthorized access",,False
CAND_0020,1579279,1579279,486323,@SpotifyCares Hi! I just discovered my account was hacked and someone changed my e-mail/password. Can you guys help me?,,ACCOUNT_ACCESS,A,,targeted,False,,7,119,"hacked, email/password changed by attacker -- primary need is access recovery",,False
CAND_0021,2929248,2929248,810358,"Help @115888, our account has been hacked. The email has been replaced by an unknown person's and we can't log in. What do we do?",,ACCOUNT_ACCESS,A,,targeted,False,,2,129,"hacked, email replaced, can't log in -- primary need is access recovery",,False
CAND_0022,2690961,2690961,120817,@SpotifyCares HELP! My account has just been hacked and now I can no longer login to my account - the email address has been changed without my consent!,,ACCOUNT_ACCESS,A,,targeted,False,,2,152,"hacked, email changed without consent, can no longer log in -- access recovery is primary ask",,False
CAND_0023,2713292,2713292,235204,"@SpotifyCares Please cancel my account immediately. I am unable to do so because my account has been hacked on my (oem) android and the email and password have changed.

Dm has been sent with no reply yet.

Thanks.",,SUBSCRIPTION_BILLING,A,,targeted,False,,3,214,"explicit primary request is to CANCEL the subscription; hacking is the stated blocker, not the ask itself",strong Edge-Case-1 test: cancellation intent should dominate despite hacking being mentioned,False
CAND_0024,1659831,1659831,506379,@115888 someone’s hacked my account and apparently there’s no way for me to change my password! #crock #fixthis #givememumoneyback,,SUBSCRIPTION_BILLING,A,,targeted,False,,2,130,hashtag makes an explicit money-back request (#givememumoneyback) alongside the hacking report,informal phrasing; annotator must look past hashtag styling to see the explicit billing ask,False
CAND_0025,2641113,2641113,745337,@115888 your security is BS some French guy hacked my account and changed my plan to add his own. I’m seeing this a lot...,,ACCOUNT_ACCESS,A,multi_intent,targeted,False,,4,122,"hacked and hacker changed subscription plan; no explicit ask to reverse the charge is stated, so primary need defaults to investigating the breach",genuinely hard case -- could reasonably be argued as SUBSCRIPTION_BILLING; recommend for inter-annotator check,False
CAND_0026,2826952,2826952,718603,Help @115888 @SpotifyCares! My account was hacked and the hacker changed my email so I can't reset my password. My credit card is saved in the system and I'm being charged :'(,,ACCOUNT_ACCESS,A,,targeted,False,,2,175,"hacked, can't reset password (explicit blocker); mentions being charged as a secondary distress signal, not an explicit dispute/refund ask",genuinely hard case -- 'being charged' could tip toward SUBSCRIPTION_BILLING; recommend for inter-annotator check,False
CAND_0027,2364820,2364820,682736,@SpotifyCares My account was hacked - why don't you have a customer support phone number?  I need to talk to someone about this ASAP,,ACCOUNT_ACCESS,A,,targeted,False,,2,132,"hacked account is the stated problem; 'why don't you have a phone number' is a secondary complaint about support channel, not a feature or billing request",,False
CAND_0028,2909841,2909841,805593,@SpotifyCares For some reason I am being charged $9.99 a month even though I've had the student discount this whole year.  I renewed the student discount a few months ago because I am still enrolled at UF.  Can i be refunded the $9.99 charge so I am only charged $4.99 instead?,,SUBSCRIPTION_BILLING,B,promotion_three_way,targeted,False,,2,277,specific disputed charge despite having an active student discount,,False
CAND_0029,822342,822342,315872,@115888 doesnt allow student discount if you're using a discoung on another streaming service. I was wondering why my bill increased.,,SUBSCRIPTION_BILLING,B,promotion_three_way,targeted,False,,2,133,specific billing increase tied to a discount-stacking policy -- disputed charge,,False
CAND_0030,1342991,1342991,433219,@SpotifyCares Hey i suscribed to Spotify Premium with the Student discount but i still don't have SpotifyPremium activated on my account,,SUBSCRIPTION_BILLING,B,promotion_three_way,targeted,False,,2,136,subscribed with student discount but paid entitlement (Premium) never activated,,False
CAND_0031,551330,551330,248478,"@SpotifyCares What are the requirements for the student discount? Do I have to be at least half time in a degree seeking program, &amp; what schools are eligible?",,GENERAL_HOW_TO_INFO,B,promotion_three_way,targeted,False,,2,162,"asking about eligibility requirements for the student discount, no disputed charge",,False
CAND_0032,566358,566358,252775,@115888 Do you offer a discount for people who work at educational institutions?,,GENERAL_HOW_TO_INFO,B,promotion_three_way,targeted,False,,2,80,"asking whether a discount exists for a group, no disputed charge",,False
CAND_0033,1609289,1609289,494091,"@115888 my student discount runs out this month for premium membership. but i am still a student, how do i still get student discount?",,GENERAL_HOW_TO_INFO,B,promotion_three_way,targeted,False,,2,134,"asking how to keep getting a discount they are still eligible for, no disputed charge",,False
CAND_0034,2139010,2139010,629100,"@SpotifyCares trying to extend my student discount for another year but when I log into unidays, the pop-up to log in comes back. What should I do?",,APP_TECH_ISSUE,B,"tech_in_billing_flow,promotion_three_way",targeted,False,,4,147,"verification pop-up loop when trying to extend a discount -- a technical flow error inside a billing/entitlement workflow, per guide section on technical flow errors",,False
CAND_0035,2407029,2407029,692220,"@SpotifyCares Hi, my email isn't working for student discount, keeps saying it's already in use when it isnt.",,APP_TECH_ISSUE,B,"tech_in_billing_flow,promotion_three_way",targeted,False,,2,109,"email 'already in use' error blocking discount signup -- technical flow error, not a pure billing dispute",,False
CAND_0036,2407006,2407010,338880,@SpotifyCares I don’t want discounted rates. I want fairness for ALL your customers and not to subsidise students by paying more.,"Customer: Students get Premium for less. Non stop listening. Endless music opportunities for just £4.99 a month. https://t.co/IYE0KN1QRe | Customer: @115888 Why do they get Premium for less? Paying much more has made me 😡 | SpotifyCares: @338880 Hi! If you’re currently enrolled in an accredited college or university, you can get the discounted rate at https://t.co/pFeBZLq1cj /AU",FEATURE_FEEDBACK,B,promotion_three_way,targeted,True,,8,129,"explicit policy complaint requesting fairness across all customers, not a personal charge dispute",,False
CAND_0037,2154957,2154957,633118,@115888 @117168 @SpotifyCares why do you guys offer a 50% discount to “students” but nothing to Veterans or Active duty? @233796 offers discounts ... #jussayin #whatsyourexcuse,,FEATURE_FEEDBACK,B,promotion_three_way,targeted,False,,7,176,explicit request that Spotify extend discount policy to a new customer group (veterans),,False
CAND_0038,2360601,2360604,681685,"@115888 Also I still wish they would bring back the ability to shuffle all the songs in a folder, across multiple playlists.",Customer: I wish @115888 let you sort a band by reverse chronological order and you could play their entire musical output from beginning to now.,FEATURE_FEEDBACK,C,removed_vs_malfunction,targeted,True,,6,124,explicit 'bring back' request for a removed cross-playlist shuffle capability,,False
CAND_0039,2647449,2647449,746946,"@115888 when are you going to bring back the drag and drop for playlist making? This new system of queuing songs is painfully slow, I have to now drag songs all the way up the queued songs if I want to play it right away.",,FEATURE_FEEDBACK,C,removed_vs_malfunction,targeted,False,,2,221,"explicit 'bring back' request for drag-and-drop playlist building, criticizing the new design",,False
CAND_0040,2422810,2422810,695849,@SpotifyCares really need to bring back the ability to see all the songs by an artist in a list. sometimes you can't remember the album the song is on or the exact name to search with. would be nice to be able to search,,FEATURE_FEEDBACK,C,removed_vs_malfunction,targeted,False,,2,219,explicit 'bring back' request for a removed artist-song-list view,,False
CAND_0041,1900422,1900422,325321,@SpotifyCares Are you ever going to bring back lyrics to the desktop version?,,FEATURE_FEEDBACK,C,removed_vs_malfunction,targeted,False,,2,77,explicit 'bring back' request for lyrics on desktop,,False
CAND_0042,2891301,2891301,314219,"Ugh. Why has @115888 removed the ability to share a track directly with other users? Not everyone uses other social network/wants to integrate it, @SpotifyCares! And what happened all the tracks friends sent me in my now-vanished Inbox? Significant degradation of the service 😠 https://t.co/xQfztqTWvU",,FEATURE_FEEDBACK,C,removed_vs_malfunction,targeted,False,,7,301,"explicitly reports a capability was deliberately removed by Spotify, not malfunctioning",,False
CAND_0043,2162619,2162619,634999,@115888 @116130 @SpotifyCares please please please bring back your year in music for 2017!!!,,FEATURE_FEEDBACK,C,removed_vs_malfunction,targeted,False,,2,92,explicit 'bring back' request for a past yearly feature (Year in Music),,False
CAND_0044,1990506,1990506,145481,This is my 3rd unsuccessful attempt to sign up for Spotify premium. YOUR SITE IS BAD AND YOU SHOULD FEEL BAD. @SpotifyCares,,APP_TECH_ISSUE,C,"removed_vs_malfunction,tech_in_billing_flow",targeted,False,,2,123,signup page repeatedly failing -- near-exact match to the guide's own example ('the signup page crashes every time I try to continue'),,False
CAND_0045,1063177,1063176,371043,@SpotifyCares I've removed the old version and reinstalled the Spotify Windows app but it still won't actually play any songs :-/,"Customer: @SpotifyCares Keep getting the message ""song not available"" for ALL songs in my playlists and also yours. Premium is paid. Whats wrong? | SpotifyCares: @371043 Hi Anna, help's here! Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /NY | Customer: @SpotifyCares This is from a Desktop running Windows 10 - with newly updated Spotify desktop app. Username Fusionette.",APP_TECH_ISSUE,C,removed_vs_malfunction,targeted,True,,6,129,"'removed' here refers to the customer's own troubleshooting action (reinstalling), not a Spotify design change; playback still broken afterward",,False
CAND_0046,2917808,2917808,807618,WHY IS SPOTIFY NOT LETTING ME SEARCH FOR MUSIC ?!?!?! @115888 @191335 @SpotifyCares,,APP_TECH_ISSUE,H,removed_vs_malfunction,targeted,False,,2,83,capitalized/emotional but fully classifiable as a search malfunction from text alone -- decoy against the 'angry=unknown' trap,,False
CAND_0047,265447,265447,179241,@SpotifyCares why can’t I control my Spotify on my control centre anymore? 😢 https://t.co/m3mk0pxU7y,,APP_TECH_ISSUE,C,removed_vs_malfunction,targeted,False,,6,100,"vague 'why can't I do X anymore' framed as loss of a working capability defaults to malfunction per Edge Case 2, absent explicit design-criticism language",,False
CAND_0048,1158629,1158629,392556,"@SpotifyCares searched for Tom Petty on the app for andriod and only 3 albums are available, but full discography is available on ps3.",,APP_TECH_ISSUE,D,,targeted,False,,24,134,"same album catalog shows fewer entries on one platform (Android) than another (PS3) for the same account -- platform-parity technical issue, not a true catalog absence",genuinely novel boundary variant not explicitly covered by existing guide examples; flagged for annotator judgment,False
CAND_0049,786634,786634,307652,"@117153 I still have some issues with Spotify, I can't listen to some people anymore like Katy Perry and Jason Derulo.",,APP_TECH_ISSUE,D,,targeted,False,,8,118,"specific artists' tracks fail to play on one device only, work on desktop -- device-specific playback failure, not catalog absence",,False
CAND_0050,1835542,1835542,550460,@SpotifyCares Songs by Prince and Robin Thicke won't play on my @261409 Blade Z Max.,,APP_TECH_ISSUE,D,,targeted,False,,14,84,"specific tracks won't play on one device model, play fine elsewhere -- playback malfunction, not catalog absence",,False
CAND_0051,2886999,2886999,800620,"@115888 Why are there random audio book chapters in my ""Release Radar"" playlist? https://t.co/reGBQ3Zd5P",,FEATURE_FEEDBACK,E,recommendation_personalization,targeted,False,,2,104,complaint about irrelevant algorithmic recommendations appearing in Release Radar,,False
CAND_0052,2606362,2606362,737369,I really wish there was a way to view your previous @115888 Discover Weekly playlists. I always forget to save songs before monday rolls in,,FEATURE_FEEDBACK,E,recommendation_personalization,targeted,False,,2,139,requests a new capability to view past Discover Weekly playlists,,False
CAND_0053,2627896,2627897,380476,@SpotifyCares Ahh ok maybe add a filter or a way to remove it then makes sense a recommender system :),"Customer: @115888 why has release radar gone from nice house beats to fucking sam smith and chopin? Some developer/ML crap? | SpotifyCares: @380476 Hey there. We're sorry you feel that way. We appreciate your feedback, and we'll be sure to pass it on to the right folks. Also, the more you use Spotify, the more personalized Release Radar becomes. We suggest that you keep on listening to the songs you love /LM",FEATURE_FEEDBACK,E,recommendation_personalization,targeted,True,,4,102,explicitly asks for a filter/control over the recommender system's output,,False
CAND_0054,1854203,1854203,554781,"PSA: @115888 's shuffle algorithm suxx 😒😴
i have 500+ songs in a playlist and the same ones play every time. wtf??",,FEATURE_FEEDBACK,E,recommendation_personalization,targeted,False,,2,114,complains the shuffle algorithm repeats the same songs -- personalization/algorithm behavior complaint,,False
CAND_0055,2944,2944,116391,"Dear @115888 how do i get my discovery playlist to stop suggesting Dutch music to me, it's been a year",,FEATURE_FEEDBACK,E,recommendation_personalization,targeted,False,,2,102,explicit request to stop a recurring unwanted recommendation pattern (foreign-language suggestions),,False
CAND_0056,544585,544585,246539,"Hey @115888 can the suggested songs not overkill the album i am actually keen on pkaying. 
Went:
Track want to hear
Suggested song
Suggested song 
Album track
Suggested song
Album track
Ad
Suggested song
Suggested song
Like really... not to mention the ad song ad crap ive had.",,FEATURE_FEEDBACK,E,recommendation_personalization,targeted,False,,4,277,"questions/criticizes the recommendation ratio algorithm for an album -- borderline metadata-vs-behavior, resolved toward algorithmic behavior",,False
CAND_0057,2917831,2917833,807626,"@SpotifyCares @807627 How do I unlink a deleted Facebook account, it just keeps showing up...",Customer: Why @115888 playing up 😥 | SpotifyCares: @807627 Hey there! Everything should be running smoothly now. Let us know if you're still getting issues /GS,GENERAL_HOW_TO_INFO,G,,targeted,True,,4,93,asking how to unlink an old Facebook connection; account itself is accessible,,False
CAND_0058,2368021,2368021,607403,@spotifycares How can I unlink my spotify account from Facebook?,,GENERAL_HOW_TO_INFO,G,,targeted,False,,4,64,asking how to unlink Facebook from account; no access failure stated,,False
CAND_0059,2622906,2622906,741007,"@115888 serious question, I need to cancel a prime account but I can’t login at all because my Facebook associated with it is gone. How can I cancel if I can’t even log in to the setting or account page?",,ACCOUNT_ACCESS,G,multi_intent,targeted,False,,2,203,framed as 'how can I cancel' but the actual blocker is being unable to log in at all -- login failure dominates,,False
CAND_0060,540363,540363,245360,@SpotifyCares need to cancel my account. Problem is no idea what email was used. Tried them all. How can I cancel. Need help. Thanks,,ACCOUNT_ACCESS,G,multi_intent,targeted,False,,2,132,framed as 'how can I cancel' but blocked by not knowing/recovering the account email -- identity recovery dominates,,False
CAND_0061,2136539,2136539,628507,https://t.co/aFsDoDBU0z how can i cancel monthly spotify on ex girlfriends phone ..she has not canceled it and im paying for it on my debit card,,SUBSCRIPTION_BILLING,"A,G",multi_intent,targeted,False,,2,144,"framed as a how-to cancellation question, but primary ask is stopping an unwanted ongoing charge on a third party's device",,False
CAND_0062,540359,540359,245358,Hey @115888 how can I know which adress is set up in my account? I have signed up in a family plan but some of the members can not sign in.  Not sure if they are writing it incorrectly,,ACCOUNT_ACCESS,G,,targeted,False,,2,184,framed as a how-to question but concerns family-plan members who cannot sign in -- access failure present,,False
CAND_0063,1845703,1845703,196235,"@SpotifyCares Hello, how do I change my postcode in my account. My gf and I have recently moved in together and would like Spotify family😁",,GENERAL_HOW_TO_INFO,G,,targeted,False,,2,138,"simple account-settings how-to question (change postcode), no access failure",,False
CAND_0064,174967,174975,157052,@AppleSupport Still does it after reinstall. @SpotifyCares any help on this?,"Customer: Hey @AppleSupport what’s with this volume thing and the @115888 app when I switch apps on iPhone X? https://t.co/oXvO3qqNcs | SpotifyCares: @157052 We'll do all we can to assist. Is this happening with other apps or only with Spotify? If you use the built-in Music App does it do the same thing? | Customer: @AppleSupport Just with Spotify | SpotifyCares: @157052 It sounds like an issue with that app. Let's start by deleting it and re-adding it from the App Store. If that does not resolve the issue, then DM us. https://t.co/GDrqU22YpT | Customer: @AppleSupport Oh nice! Good idea. 🙏🏻 | SpotifyCares: @157052 Please keep us posted.",APP_TECH_ISSUE,H,short_continuation,targeted,True,,13,76,QA-pass replacement candidate (seed=456 deterministic draw),"REPLACEMENT for tweet_id 1835539 ('Both'): flagged for exact-text overlap with RETRIEVAL pool and being a low-information one-word message. New candidate is substantive, genuinely context-dependent ('Still does it after reinstall'), and resolves via strictly-preceding context to the same short-continuation/APP_TECH_ISSUE purpose.",False
CAND_0065,1835534,1835542,550460,@SpotifyCares https://t.co/pPseUUQ00P for instance and I'm in the USA.,"Customer: @SpotifyCares Songs by Prince and Robin Thicke won't play on my @261409 Blade Z Max. | SpotifyCares: @550460 Hey George, can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. Also, what country is your account set to? /SY",APP_TECH_ISSUE,H,short_continuation,targeted,True,,14,70,short reply with a link and 'I'm in the USA' resolves via preceding context (country question in a playback-troubleshooting thread),,False
CAND_0066,263524,263528,178803,@SpotifyCares @SpotifyCares What could i do?,"Customer: @SpotifyCares Hello, i have a Problem. The album ""Blyat"" from a German Music Artist should be released on Spotify.  But not in my App.",CONTENT_CATALOG,H,short_continuation,targeted,True,,8,44,"'What could i do?' resolves via preceding context to a content-availability question, plus a geography modifier",geography modifier: Germany,False
CAND_0067,790316,790319,308462,"@SpotifyCares Ah, so rather than being a testing ground, it's actually just specifically for Time Capsule?","Customer: Whoa, new Spotify UI nice https://t.co/N7cagd5nIn | Customer: Oh, it only applies to Time Capsule? @SpotifyCares Doing some A B testing hmm? | SpotifyCares: @308462 Hey! This isn't currently possible to all playlists, but we appreciate the feedback. We'll pass on your thoughts to our devs /AY",FEATURE_FEEDBACK,H,short_continuation,targeted,True,,5,106,clarifying follow-up question resolves via preceding context to an ongoing feature-availability exchange,,False
CAND_0068,2624563,2624563,741398,@SpotifyCares   Is there a phone number I can call someone at,,GENERAL_HOW_TO_INFO,H,,targeted,False,,2,61,"short standalone message, but fully classifiable from text alone (asking for a phone number) -- decoy against the 'short=unknown' trap",,False
CAND_0069,1048606,1048607,367817,"@SpotifyCares No worries, thank you very much!","Customer: @SpotifyCares hi, my song has just recently gone live, but is under someone else’s profile (with the same name) any chance of my own profile | SpotifyCares: @367817 1: Hey Danny, sorry about that! We’d recommend reaching out to your distributor/aggregator. | SpotifyCares: @367817 2:  They'll work with our team to make sure your artist page gets fixed up /NS",UNKNOWN_OTHER,,,targeted,True,conversational/closure,5,46,"pure gratitude/closure, no further request","QA FIX: original row pulled the wrong tweet_id (1048607 is this thread's id, not the intended tweet). Corrected to tweet_id 1048606, the intended 'No worries, thank you very much!' closure message.",False
CAND_0070,526274,526275,241770,@SpotifyCares Nevermind i fixed it,Customer: @SpotifyCares ive been trying to log back into my account to the phone I'm going to use now I'm not sure of my info and it's a paid account i dmed you,UNKNOWN_OTHER,,,targeted,True,conversational/closure,3,34,"self-resolved issue, closing the conversation",,False
CAND_0071,2623503,2623503,721196,"I'm stupid and I just needed to restart my phone, spotify is working fine now.",,UNKNOWN_OTHER,,,targeted,False,conversational/closure,2,78,"self-resolved issue, closing the conversation",,False
CAND_0072,2917914,2917912,807657,"@SpotifyCares Haha, thank you for being here for your users!","Customer: @SpotifyCares Hemmmmm... Is that normal? I tried to disconnect and reconnect, but it doesn’t work... https://t.co/FSF6Co5U1P | SpotifyCares: @807657 Hey Alex! Everything should be running smoothly now. Let us know if this is still happening /GS | Customer: @SpotifyCares Yes! It’s working! Thank you! | SpotifyCares: @807657 No worries! Just give us a shout if the problem persists. We're... https://t.co/zOXI69QSqg /GS",UNKNOWN_OTHER,,,targeted,True,conversational/closure,6,60,"pure gratitude, no further request",,False
CAND_0073,265449,265447,179241,@SpotifyCares Yesss you fixed it! 😍 https://t.co/HvS9R5uQcV,Customer: @SpotifyCares why can’t I control my Spotify on my control centre anymore? 😢 https://t.co/m3mk0pxU7y | SpotifyCares: @179241 Hey Kelvin! Can you let us know the exact iOS and Spotify versions you're using? We'll see what we can suggest /RH | Customer: @SpotifyCares iOS 11.0.3 and Spotify 8.4.25 | SpotifyCares: @179241 Thanks. Can you try logging out &gt; restarting your phone &gt; logging back in? Let us know if that makes a difference /RH,UNKNOWN_OTHER,,,targeted,True,conversational/closure,6,59,"pure closure confirming a fix, no further request",,False
CAND_0074,1417612,1417606,449502,"@SpotifyCares No need, when I search for it now it shows 14 tracks instead of the 12 shown before 😀. Thank you!","Customer: @SpotifyCares why is Rudolph missing? #FinallyItsChristmas @242080 | SpotifyCares: @449502 Hi Saphira! Could you let us know more details on what you're looking for? We'll take a look for you /NJ | Customer: @SpotifyCares It's a song that's missing on Spotify of the #FinallyItsChristmas  album | SpotifyCares: @449502 Can you try checking this link: https://t.co/CuHqraOYri for the missing track? Is it there? /NJ | Customer: @SpotifyCares Yes it""s there, nr 3. How come it doesn't show on my app? | SpotifyCares: @449502 That's odd! Can you let us know the device, operating system, and Spotify version you're running? /PL | Customer: @SpotifyCares It is! My friend in the UK has the same issue. It's a Samsung galaxy S7. Android 7.0. Spotify 8.4.24.871 armV7 | SpotifyCares: @449502 Can you try logging out &gt; restarting your device &gt; logging back in? Let us know if that helps /PL",UNKNOWN_OTHER,,,targeted,True,conversational/closure,10,111,"pure closure ('No need... Thank you!') -- self-resolved CONTENT_CATALOG-flavored issue (missing track now visible), substantive text with rich context, adds thematic diversity to the closure examples","REPLACEMENT for tweet_id 781907 (""Done, thanks!""): flagged for near/normalized retrieval-pool overlap on a generic short closure phrase. New candidate is substantive (not generic), has genuine multi-turn context, and has zero exact/normalized overlap with RETRIEVAL.",False
CAND_0075,265069,265069,179148,@115888 really means it when they say they care! @SpotifyCares Thank you so much for helping me today!,,UNKNOWN_OTHER,,,targeted,False,conversational/closure,2,102,"pure appreciation/closure, no actionable request",,False
CAND_0076,1840697,1840697,551638,https://t.co/EC4KeFFcrZ,,UNKNOWN_OTHER,,,targeted,False,ambiguous,2,23,bare link with no interpretable text and no context,,False
CAND_0077,1730303,1730303,287348,@SpotifyCares I'M CONSIDERING SELLING MY STORY TO YOUR COMPETITORS FOR AN ADVERTISEMENT,,UNKNOWN_OTHER,,,representative,False,irrelevant/off-topic,2,87,QA-pass replacement candidate (seed=456 deterministic draw),"REPLACEMENT for tweet_id 2629128 ('help me @SpotifyCares'): flagged for near-duplicate (normalized) overlap with RETRIEVAL pool and being a low-information generic phrase. New candidate is a substantive, genuine off-topic/irrelevant message unrelated to any Spotify support action, with no retrieval overlap.",False
