golden_tweet_id,golden_customer_text,rank,similarity_score,retrieved_customer_tweet_id,retrieved_customer_text,retrieved_brand_tweet_id,retrieved_brand_text_raw,retrieved_thread_id,same_issue_yes_no,same_issue_notes,response_type,would_agent_use_as_evidence,similarity_correlates_with_usefulness_notes
2917808,WHY IS SPOTIFY NOT LETTING ME SEARCH FOR MUSIC ?!?!?! @115888 @191335 @SpotifyCares,1,0.7201,48128,@SpotifyCares there's something wrong with the search :( https://t.co/EOaGD3BKyw,48127,@126762 Hey Dana! Does logging out and logging back in help? Restarting your device is also worth a try. Let us know how it plays out /GU,48128,,,,,
2917808,WHY IS SPOTIFY NOT LETTING ME SEARCH FOR MUSIC ?!?!?! @115888 @191335 @SpotifyCares,2,0.6963,2699536,WHY IS MY SPOTIFY DOING THIS SOMEONE HELP ???? https://t.co/QuX6NcXHGi,2699534,@541550 Hey! That doesn't sound good. Can you let us know the iOS and Spotify version you're using? We'll see what we can suggest /YM,2699536,,,,,
2917808,WHY IS SPOTIFY NOT LETTING ME SEARCH FOR MUSIC ?!?!?! @115888 @191335 @SpotifyCares,3,0.68,2627890,WHY ISNT THE ALBUM ON SPOTIFY @115888 HELP,2627889,"@742214 Hi! Just to check, which album are you referring to? We'll take a look backstage /AU",2627890,,,,,
2917808,WHY IS SPOTIFY NOT LETTING ME SEARCH FOR MUSIC ?!?!?! @115888 @191335 @SpotifyCares,4,0.6787,418878,@SpotifyCares Why isn't any of @214907 music playing on the Spotify app? 🤔,418877,@214906 Hey! Can you get back to us with the exact device you're using as well as the operating system and Spotify versions it's running? /JL,418878,,,,,
2917808,WHY IS SPOTIFY NOT LETTING ME SEARCH FOR MUSIC ?!?!?! @115888 @191335 @SpotifyCares,5,0.6678,1837764,Why can’t I listen to @78997 on @115888 @SpotifyCares. When I click on anything from panic nothing happens. Help!!!,1837762,"@550915 Hey Steven, help's here! Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /RV",1837764,,,,,
622817,May I ask why Dan Black has two different artist profiles? @115888 @SpotifyCares,1,0.6913,1488410,"Bummed I have 2 sep artist pages on Spotify. @SpotifyCares, is it because I used 2 different distributors? @159550 &amp; @137960?",1488408,"@465733 Hey Crysanthe, help's here! Can you send us links to both pages? We'll look into it /GS",1488410,,,,,
622817,May I ask why Dan Black has two different artist profiles? @115888 @SpotifyCares,2,0.5978,1520687,@SpotifyCares Both,1520688,@472715 Alright. We'd suggest doing a clean reinstall. You can follow the steps here: https://t.co/cxGHt0bCR8. Let us know how it goes /LO,1520694,,,,,
622817,May I ask why Dan Black has two different artist profiles? @115888 @SpotifyCares,3,0.5977,2329674,@SpotifyCares Hi my artist page is filled different artist with the same name. I own the artist page how can i request their songs be moved?,2329673,@674528 Hi Lee! We've replied to your DM. Make sure to check it out 🙂 /RI,2329674,,,,,
622817,May I ask why Dan Black has two different artist profiles? @115888 @SpotifyCares,4,0.5913,1812465,@115888 @SpotifyCares,1812464,@544513 Hey there! We can see how that’d be useful! You can vote for the official idea here: https://t.co/jfhHDcTgo7 😁 /NS,1812467,,,,,
622817,May I ask why Dan Black has two different artist profiles? @115888 @SpotifyCares,5,0.5913,416497,@115888 @SpotifyCares,416495,@214355 Hey Miranda! Sorry to hear that. Can you let us know what Spotify version you're using? We'll check backstage /RK,416501,,,,,
1158629,"@SpotifyCares searched for Tom Petty on the app for andriod and only 3 albums are available, but full discography is available on ps3.",1,0.5973,1193639,@SpotifyCares Despite the full @50582 discography being available otherwise.,1193642,"@199701 Thanks. We'd love to have all of them on Spotify, but we're afraid it all boils down to licensing. More info at https://t.co/0i8GpimuDa /PB",1193641,,,,,
1158629,"@SpotifyCares searched for Tom Petty on the app for andriod and only 3 albums are available, but full discography is available on ps3.",2,0.5646,1117273,@SpotifyCares why can I find some albums searching in a browser but when I follow the link to the app theres nothing?,1117272,"@383624 Hey! Can you send us the links to these albums? Also, what country is your Spotify account set to? We'll check thing's out for you /YM",1117273,,,,,
1158629,"@SpotifyCares searched for Tom Petty on the app for andriod and only 3 albums are available, but full discography is available on ps3.",3,0.5281,1694959,@SpotifyCares Android,1694958,"@514260 Thanks, but could you give us more info on what's happening exactly? We'll see what we can suggest /PB",1694961,,,,,
1158629,"@SpotifyCares searched for Tom Petty on the app for andriod and only 3 albums are available, but full discography is available on ps3.",4,0.5279,420490,@SpotifyCares No just albums.,420492,@215217 Thanks for the info. Could you send us your account's email address or username via DM? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt,420491,,,,,
1158629,"@SpotifyCares searched for Tom Petty on the app for andriod and only 3 albums are available, but full discography is available on ps3.",5,0.527,1909082,"@SpotifyCares why don't you have the full album available?! Foster the people, smashing pumpkins... I do pay for premium...",1909081,"@568713 Hi Irie! Just to check, which of their songs are you looking for? Could you let us know which country you're in? We'll take a look /GT",1909082,,,,,
2623509,@SpotifyCares My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,1,0.8719,2234671,@SpotifyCares Hi my account got hacked and they changed my email address. Can you help?,2234670,@544761 Hey! That doesn't sound cool. Could you DM us your username or email address? /I https://t.co/ldFdZRiNAt,2234671,,,,,
2623509,@SpotifyCares My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,2,0.8567,2125247,@SpotifyCares PLEASE help me fix this! I'm locked out of my account someone changed the email address and password.,2125246,@625881 Hi there! That doesn't sound good. Can you DM us your account's username or email address? We'll take a look under the hood /DN https://t.co/ldFdZRiNAt,2125247,,,,,
2623509,@SpotifyCares My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,3,0.8454,1814613,@SpotifyCares Someone hacked my account... changed the email address and now I can't access my tunes. Can you please help?,1814612,@545120 Hey there! We’re sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage /DD https://t.co/ldFdZRiNAt,1814613,,,,,
2623509,@SpotifyCares My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,4,0.8063,2141725,"@SpotifyCares hey someone has changed the email address and password of my account, can you help me out please",2141724,"@629770 Hey Adam, we're sorry to hear that! Can you DM us your account's username and email address? We'll take a look backstage /JX https://t.co/ldFdZRiNAt",2141725,,,,,
2623509,@SpotifyCares My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,5,0.7986,1799635,@SpotifyCares My email and Spotify were hacked. The hacker changed the passwords to both. Can you recover my account or cancel my premium.,1799634,@540730 Hey Erin! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,1799635,,,,,
2420496,"@115888 Good morning, this morning my account is now set as free when I pay my Mobile Provider for the account (Fido.ca) What's wrong?",1,0.5712,1972061,@115888 Myself and partner can’t access premium accounts this morning - what’s going on? Free account with Vodafone for 24 months,1972060,"@584124 Hey Nicki, help's here! Can you DM us your account's email address along with your partner's? We'll take a look backstage /PL https://t.co/ldFdZRiNAt",1972061,,,,,
2420496,"@115888 Good morning, this morning my account is now set as free when I pay my Mobile Provider for the account (Fido.ca) What's wrong?",2,0.5632,30605,@117153 My account __email__ is still on the free version but paid already,928394,"@340286 Hey there, help's here! Can you DM us your account's username? We'll take a look backstage 🙂 /CG https://t.co/ldFdZRiNAt",30601,,,,,
2420496,"@115888 Good morning, this morning my account is now set as free when I pay my Mobile Provider for the account (Fido.ca) What's wrong?",3,0.5477,2707021,@115888 I need assistance.  I don't have email access to the account that I set up.  I switched phones and can't log into the account.  how can i log in as I'm still paying for the service at $ 9.99  for the past 3 months without being able to log in to use it! I NEED HELP,2707020,@760231 Hey! Help's here. Can you DM us your account's email address or username? We'll see what we can suggest /RA https://t.co/ldFdZRiNAt,2707021,,,,,
2420496,"@115888 Good morning, this morning my account is now set as free when I pay my Mobile Provider for the account (Fido.ca) What's wrong?",4,0.5282,1852081,"@117153 hi, I buy Premium but my account appears as free, and I closed session but still the same",1852080,@554306 Hey Tamil! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,1852081,,,,,
2420496,"@115888 Good morning, this morning my account is now set as free when I pay my Mobile Provider for the account (Fido.ca) What's wrong?",5,0.524,1691152,@115888 hi can you help my premium account has been downgraded to a free account and I don’t know why,1691151,"@186977 Hi Neil, help's here! Could you DM us your username and email address? We'll take a closer look 🔍 /JQ https://t.co/ldFdZRiNAt",1691152,,,,,
426789,i wish there was a function to block an artist in @115888 so you avoid them popping up in your generated playlists and radios ..,1,0.7201,2210998,"@115888 @SpotifyCares we ever going to get a ""block artist"" feature to go with the random radio feature? Because sometimes that algorithm serves up some...""music"" I never want to hear ever again.",2210997,"@646241 Hey there! We don't have any info to share, but we'll make sure to pass your feedback on to the team /RH",2210998,,,,,
426789,i wish there was a function to block an artist in @115888 so you avoid them popping up in your generated playlists and radios ..,2,0.6947,869719,I wish @115888 would let me blacklist songs so they never appear in my Discover Weekly playlist again.,869718,@326510 Hey Jet! Add your vote to this idea to help let our devs know it's something you'd like to see: https://t.co/llJeAWnvFA /SY,869719,,,,,
426789,i wish there was a function to block an artist in @115888 so you avoid them popping up in your generated playlists and radios ..,3,0.6925,2965864,@117168 you should make it so that I can block artists from coming up on playlists. I want to make sure I never support Chris Brown in any way.,2965863,"@818247 Hey, thanks for the feedback - we appreciate it! We'll make sure that info gets passed to the right team. If you ever need anything else, just shout and we'll come running 🏃 /LX",2965864,,,,,
426789,i wish there was a function to block an artist in @115888 so you avoid them popping up in your generated playlists and radios ..,4,0.667,2037108,"New @115888 request: blocking certain artists from playlists/discover. Cause let's be real, who actually wants to listen to Chris Brown?",2037107,"@602298 Hey Erin! This isn't possible right now, but you can show your support for the idea in our Community: https://t.co/oGDLtirXki /NS",2037108,,,,,
426789,i wish there was a function to block an artist in @115888 so you avoid them popping up in your generated playlists and radios ..,5,0.6618,2913795,Can you block certain artists on Spotify because my daily mix came up with a Jaden Smith song and I wanna make sure that never happens again.,2913794,"@806598 Hey there! This isn’t possible right now, but we have more info about this on our Community. Check it out: https://t.co/oGDLtirXki /CE",2913795,,,,,
1517179,"@SpotifyCares iPhone 6s+, 8.4.20.535",1,0.9213,2311118,@SpotifyCares iPhone 6s Plus and version- 8.4.26,2311121,"@670277 1: We'll take note of them. To check your iOS version, just head to your phone's Settings &gt; General &gt; About.",2311119,,,,,
1517179,"@SpotifyCares iPhone 6s+, 8.4.20.535",2,0.9089,2488836,@SpotifyCares iphone 6s plus. the version is 8.4.26.793,2488837,@710748 Thanks for that info. Can you try the steps here for us: https://t.co/EqisDMwZAT? They should help with this. Let us know how it goes /JI,2488834,,,,,
1517179,"@SpotifyCares iPhone 6s+, 8.4.20.535",3,0.8902,1386915,"@SpotifyCares Iphone 6, 11.0.2 and version 8.4.25",1386914,"@442723 Got it! Just to check, have you tried logging out, restarting your device by holding Home + Lock for 10 seconds, then logging back in? /PB",1386917,,,,,
1517179,"@SpotifyCares iPhone 6s+, 8.4.20.535",4,0.8821,115265,@SpotifyCares iPhone 6s. iOS version 11.1.2,115264,"@141624 Thanks! Does logging out, restarting your device, then logging back in help at all? /QI",115267,,,,,
1517179,"@SpotifyCares iPhone 6s+, 8.4.20.535",5,0.8768,1517191,"@SpotifyCares iPhone 6s, ios 11.0.3 and Spotify 8.4.25",1517193,"@472005 Thanks for the info. Just to check, does Shuffle Play work fine while listening to the app using regular headphones? /LM",1517192,,,,,
2246055,@115888 as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,1,0.6846,2329674,@SpotifyCares Hi my artist page is filled different artist with the same name. I own the artist page how can i request their songs be moved?,2329673,@674528 Hi Lee! We've replied to your DM. Make sure to check it out 🙂 /RI,2329674,,,,,
2246055,@115888 as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,2,0.6446,2569033,@SpotifyCares My album is attributed to an artist who isn't me. What can I do to ensure this is fixed ASAP?,2569032,@728655 Hi! Sorry to hear it. We'd suggest reaching out to your distributor. They'll work with our team to make sure your page gets fixed up /NQ,2569033,,,,,
2246055,@115888 as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,3,0.6297,688080,"@125633 Hi, there are some songs that are appearing on my artist page that are not mine. I've to to contact spotify without no responds",688079,"@284361 Hey! You can contact our Artist team here: https://t.co/p1wbtdELHu. If you've reached out, DM us your email address &amp; we'll chase it up /K https://t.co/ldFdZRiNAt",688080,,,,,
2246055,@115888 as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,4,0.625,1102735,@115888 @SpotifyCares is this possible?,1102734,"@380214 Hey, we can see how that’d be useful! You can vote for the official idea here: https://t.co/YSHYSPDR4z /RB",1102736,,,,,
2246055,@115888 as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,5,0.6228,2283894,@115888 how can I contact you regarding an unknown device using my Spotify,2283893,@663714 Hi James! We've just sent you a bit more info over DM. We'll carry on helping out there /AU,2283894,,,,,
727009,@SpotifyCares I put my card details in to upgrade to Premium for a trial. I have now been charged for a years subscription! Please cancel.,1,0.7579,458072,@SpotifyCares I was charged for Premium even though I cancelled a day before ny pay was due. Please cancel my premium and refund me,458071,@223750 Hey Gideon! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,458072,,,,,
727009,@SpotifyCares I put my card details in to upgrade to Premium for a trial. I have now been charged for a years subscription! Please cancel.,2,0.7463,1853401,"@SpotifyCares my card was charged, but I still don't have premium",1853400,"@554600 Hi Tafie, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt",1853401,,,,,
727009,@SpotifyCares I put my card details in to upgrade to Premium for a trial. I have now been charged for a years subscription! Please cancel.,3,0.7435,1242363,@SpotifyCares I tried cancelling my premium before it renewed today and it wouldnt let me now Im charged for something I dont want,1242362,@411440 Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,1242363,,,,,
727009,@SpotifyCares I put my card details in to upgrade to Premium for a trial. I have now been charged for a years subscription! Please cancel.,4,0.7224,2763002,@SpotifyCares Spotify I cancelled my premium account with you a few months back yet you have continued to charge me. Please confirm - username is mazowiecki,2763001,@772949 Hi Rohini! We've just sent you a bit more info over DM. We'll carry on helping out there /DD,2763002,,,,,
727009,@SpotifyCares I put my card details in to upgrade to Premium for a trial. I have now been charged for a years subscription! Please cancel.,5,0.7187,857095,@SpotifyCares I am still being charged on my visa card even after I have cancelled the subscription. Please give me refund.,857094,@323527 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,857095,,,,,
172534,@115888 @2069 Why do you have paypal as option to pay in US and not in Brazil?,1,0.559,93922,@115888 can i use paypal? and is it really P9?,653117,"@275308 Hey there! Yes, new subscribers can purchase 3 months of Premium for ₱9. PayPal is one of the many accepted payment methods for this offer. It may seem too good to be true. We're just really getting into the holiday spirit 🎁 /TX",93906,,,,,
172534,@115888 @2069 Why do you have paypal as option to pay in US and not in Brazil?,2,0.5132,100189,"@117153 I continue having payment problems in my account. You doesn't accept any of my cards and I don't have problems with my bank, Im from chile by the way",2953010,"@815343 Hey Lucas! Do you get an error message when trying to subscribe? If you do, can you send us a screenshot of it? Also, can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt",100177,,,,,
172534,@115888 @2069 Why do you have paypal as option to pay in US and not in Brazil?,3,0.4889,1336483,"@SpotifyCares Hi, I have a question regarding the student discount. Why can't I choose paypal as a payment method?",1336482,@431762 Hey Marijn! Can you DM us your account's username or email address? We'll check backstage /NG https://t.co/ldFdZRiNAt,1336483,,,,,
172534,@115888 @2069 Why do you have paypal as option to pay in US and not in Brazil?,4,0.4715,187527,@116130 Hiya! Is there any way of changing the date my money comes out of PayPal for my subscription?,187525,@160015 Hey Micky! Can you fire over your account's email address or username via DM? We'll take a look backstage /AY https://t.co/ldFdZRiNAt,187527,,,,,
172534,@115888 @2069 Why do you have paypal as option to pay in US and not in Brazil?,5,0.4696,1895233,@115888 why i cant register for spotify premium? I cant see globe in payment options. Help,1895232,@274154 Hey there! Could you DM us your account's username or email address? We'll take a look backstage /JO https://t.co/ldFdZRiNAt,1895233,,,,,
1865839,".@115888 Any idea why @38290's Track ""When You Come Back Down"" is unavailable?",1,0.6423,1434290,@115888 why can't I seem to play any @118276 song?,1434288,@307555 Hey there! Are you getting any specific error messages while listening to his tracks? What device/OS &amp; Spotify version are you using? /CE,1434290,,,,,
1865839,".@115888 Any idea why @38290's Track ""When You Come Back Down"" is unavailable?",2,0.6321,1371859,"@115888 why can't I listen to the new @319994 album, it has said the songs are not available when there's no reason they shouldn't be",1371858,"@439303 Hey there! Can you send us the Album Link? Just tap the three dots &gt; Share &gt; Copy Link. Also, what country is your account set to? /JE",1371859,,,,,
1865839,".@115888 Any idea why @38290's Track ""When You Come Back Down"" is unavailable?",3,0.5679,1936102,"@115888 you keep telling me to listen to @154226 's new album, but the songs are showing up as unavailable in the web player",1936101,"@576019 Hey Alyssa, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt",1936102,,,,,
1865839,".@115888 Any idea why @38290's Track ""When You Come Back Down"" is unavailable?",4,0.5622,141175,"Dear @115888 Why? Why? Why? Is this on my release radar playlist?
https://t.co/CaNW6DiiIb",141174,"@147837 Hi there! The more you use Spotify, the more personalized Release Radar becomes. Carry on listening to the songs you love. Hopefully it’s more in tune with your tastes next week /DR",141175,,,,,
1865839,".@115888 Any idea why @38290's Track ""When You Come Back Down"" is unavailable?",5,0.5581,1933558,"Yo @115888, why are all my songs being taken off??",1933557,@575361 Hey! Help's here. Can you DM us your account's email address and a bit more info about what's going on? We'll see what we can suggest /DD https://t.co/ldFdZRiNAt,1933558,,,,,
1855971,"@SpotifyCares Hey, a song of mine was recently released on a label and it created a duplicate artist page. How can I get it on my main?",1,0.7179,2569033,@SpotifyCares My album is attributed to an artist who isn't me. What can I do to ensure this is fixed ASAP?,2569032,@728655 Hi! Sorry to hear it. We'd suggest reaching out to your distributor. They'll work with our team to make sure your page gets fixed up /NQ,2569033,,,,,
1855971,"@SpotifyCares Hey, a song of mine was recently released on a label and it created a duplicate artist page. How can I get it on my main?",2,0.7164,2329674,@SpotifyCares Hi my artist page is filled different artist with the same name. I own the artist page how can i request their songs be moved?,2329673,@674528 Hi Lee! We've replied to your DM. Make sure to check it out 🙂 /RI,2329674,,,,,
1855971,"@SpotifyCares Hey, a song of mine was recently released on a label and it created a duplicate artist page. How can I get it on my main?",3,0.6758,1488410,"Bummed I have 2 sep artist pages on Spotify. @SpotifyCares, is it because I used 2 different distributors? @159550 &amp; @137960?",1488408,"@465733 Hey Crysanthe, help's here! Can you send us links to both pages? We'll look into it /GS",1488410,,,,,
1855971,"@SpotifyCares Hey, a song of mine was recently released on a label and it created a duplicate artist page. How can I get it on my main?",4,0.6635,1974576,"@SpotifyCares Here’s the right artist page:  https://t.co/I95jYaJEQI 

Here’s the EP that’s not appearing on my artist page:
 https://t.co/FBYhdoftHY",1974578,"@584752 Thanks. We'll get this reported. Hopefully this'll be sorted soon. In the meantime, give us a shout if we can help with anything else /MC",1974581,,,,,
1855971,"@SpotifyCares Hey, a song of mine was recently released on a label and it created a duplicate artist page. How can I get it on my main?",5,0.651,2720924,@SpotifyCares I think someone else is using my Spotify? Found an artist and song saved that wasn't by me,2720923,@275714 Hey! We've replied to your DM. Let's carry on chatting there /YM,2720924,,,,,
265449,@SpotifyCares Yesss you fixed it! 😍 https://t.co/HvS9R5uQcV,1,0.9005,293867,@SpotifyCares @SpotifyCares you fixed it! #thankyou #spotify,293866,@186017 Awesome! Let us know if there's anything else we can do for you /TF,293869,,,,,
265449,@SpotifyCares Yesss you fixed it! 😍 https://t.co/HvS9R5uQcV,2,0.809,1701514,@SpotifyCares It worked 🤗,1701515,@242333 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ,1701517,,,,,
265449,@SpotifyCares Yesss you fixed it! 😍 https://t.co/HvS9R5uQcV,3,0.8075,181542,@SpotifyCares It works! 🙌🏼,181544,@158651 Great! Glad to hear it's working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /MG,181546,,,,,
265449,@SpotifyCares Yesss you fixed it! 😍 https://t.co/HvS9R5uQcV,4,0.8046,1013929,"@SpotifyCares That did it, thank you!",1013930,@359923 No worries! Feel free to give us a shout if we can help with anything else. We're always... https://t.co/zOXI69QSqg​ /RS,1013927,,,,,
265449,@SpotifyCares Yesss you fixed it! 😍 https://t.co/HvS9R5uQcV,5,0.7987,2595614,@SpotifyCares Great! Thank you! 😊,2595613,"@734951 You're welcome! If anything else comes up, just say the word. We're always a tweet away 🙂 /MT",2595616,,,,,
492383,@3493 all my ads are in German how do I fix this?,1,0.5046,2429632,@115888 why are your ads so loud??,2429630,@697513 Hey there! We didn't mean to cause any offense. We'll pass the feedback on to the right people /CG,2429632,,,,,
492383,@3493 all my ads are in German how do I fix this?,2,0.4955,1550863,Does anyone know how to turn off @135616 ads? I am loving the @115888 integration but annoyed on how it'll disappear with an ad.,1550862,"@173163 Hey Veronica! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /AP",1550863,,,,,
492383,@3493 all my ads are in German how do I fix this?,3,0.479,2030403,"Hi there @115888 I don't mind the ads, but if I change to premium will you stop giving me those annoying suggestions? You just never get one right. Cheers!",2030402,"@600409 Hi! We appreciate your feedback. Rest assured, you won't get any suggested tracks when you're on Premium. Hope this info helps /GK",2030403,,,,,
492383,@3493 all my ads are in German how do I fix this?,4,0.4676,630455,@115888 every time I click the ad to get premium it takes me to a landing page WITH NO WAY TO GET IT. Just pictures &amp; words.,630454,@269394 Hey there! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,630455,,,,,
492383,@3493 all my ads are in German how do I fix this?,5,0.4609,1748263,@115888 your ad situation is beyond reconciliation and I demand compensation.,1748261,@526998 Hey! Can you give us more info on what's going on? We'll see what we can suggest /CB,1748263,,,,,
544585,"Hey @115888 can the suggested songs not overkill the album i am actually keen on pkaying. 
Went:
Track want to hear
Suggested song
Suggested song 
Album track
Suggested song
Album track
Ad
Suggested song
Suggested song
Like really... not to mention the ad song ad crap ive had.",1,0.6628,1382812,"@115888 when people listen to an album, they want to listen to that album, not ""suggested songs."" It's annoying and counterintuitive.",1382811,"@441825 Hi there! To reduce the number of Suggested Tracks you get, try adding those tracks in a playlist and add more artists into it /MU",1382812,,,,,
544585,"Hey @115888 can the suggested songs not overkill the album i am actually keen on pkaying. 
Went:
Track want to hear
Suggested song
Suggested song 
Album track
Suggested song
Album track
Ad
Suggested song
Suggested song
Like really... not to mention the ad song ad crap ive had.",2,0.6435,2429634,If i wanted to listen to a song id fucking listen to it🙃stop giving me the suggested bullshit @115888,2429633,"@697514 Hey Tegan, sorry to hear that. Can you DM us your account's email address or username? We'll take a look backstage /JE https://t.co/ldFdZRiNAt",2429634,,,,,
544585,"Hey @115888 can the suggested songs not overkill the album i am actually keen on pkaying. 
Went:
Track want to hear
Suggested song
Suggested song 
Album track
Suggested song
Album track
Ad
Suggested song
Suggested song
Like really... not to mention the ad song ad crap ive had.",3,0.6292,1822610,"Why does @115888 seem to think that when I put in and hit shuffle play on something specific that I want to hear ""suggested songs""? If I wanted something suggested because the artist has other stuff then I would go to the artists other stuff. Get your crap together @115888",1822609,"@547146 Hey Faith, help's here! Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt",1822610,,,,,
544585,"Hey @115888 can the suggested songs not overkill the album i am actually keen on pkaying. 
Went:
Track want to hear
Suggested song
Suggested song 
Album track
Suggested song
Album track
Ad
Suggested song
Suggested song
Like really... not to mention the ad song ad crap ive had.",4,0.5802,462657,"@115888 you should be able to skip suggested songs without it counting to our limited skips amount. Or when someone turns off ""Auto Play"", it should actually work. You could also take out playing suggested songs in general.",462656,"@224964 Hey! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /RB",462657,,,,,
