"# guide_assessment is an audit opinion against the current guide, not a new gold label.",The existing_human_label column is the only authoritative label.,,,,,,,
example_id,tweet_id,existing_human_label,guide_assessment,status,basis_tier,rule_reference,notes,material_to_baseline
14,1856717,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 14 in SUBSCRIPTION_BILLING positive examples (line 160), stating it as SUBSCRIPTION_BILLING; also cited consistently in 2 other place(s)",Guide directly cites this example by number.,
15,2028406,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
16,653055,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
17,2891287,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
18,793790,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 18 in APP_TECH_ISSUE near-miss examples (line 202), stating it as FEATURE_FEEDBACK",Guide directly cites this example by number.,
19,810431,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 19 in Edge Case 2 examples (line 553), stating it as UNKNOWN_OTHER",Guide directly cites this example by number.,
20,845929,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 20 in APP_TECH_ISSUE positive examples (line 198), stating it as APP_TECH_ISSUE",Guide directly cites this example by number.,
21,64343,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 21 in APP_TECH_ISSUE near-miss examples (line 203), stating it as FEATURE_FEEDBACK",Guide directly cites this example by number.,
22,2518439,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
23,2031446,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
24,1579283,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
25,2380919,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
26,53125,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 26 in FEATURE_FEEDBACK positive examples (line 292), stating it as FEATURE_FEEDBACK; also cited consistently in 1 other place(s)",Guide directly cites this example by number.,
27,2332443,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
28,2073806,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 28 in CONTENT_CATALOG positive examples (line 242), stating it as CONTENT_CATALOG",Guide directly cites this example by number.,
29,1540328,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
30,2009942,CONTENT_CATALOG,FEATURE_FEEDBACK,POSSIBLE,GUIDE_EX_CITATION,Guide Ex 47 (worked example): 'Remove my music limits! It's dumb.' -> FEATURE_FEEDBACK (wants limits changed),"Message states two issues with similar weight: 'the removal of songs' (content, matches existing CONTENT_CATALOG) AND 'cap on downloads is annoying' (matches Ex47's download-cap complaint pattern, FEATURE_FEEDBACK). Genuine multi-intent ambiguity -- guide's tie-breaker doesn't resolve which is primary.",no: one flip within a 27-example class (CONTENT_CATALOG)
31,2749501,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 31 in Edge Case 2 examples (line 550), stating it as APP_TECH_ISSUE",Guide directly cites this example by number.,
32,1158263,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 32 in UNKNOWN_OTHER diagnostic flags (conversational/closure) (line 406), stating it as UNKNOWN_OTHER",Guide directly cites this example by number.,
33,1710968,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
34,2027952,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
35,2439911,APP_TECH_ISSUE,FEATURE_FEEDBACK,MISMATCH,GUIDE_WORKED_EXAMPLE,"APP_TECH_ISSUE Removed/Changed vs Malfunction rule, worked example: '...e.g., ""Did you remove one-song-repeat?"", ""What happened to preview?"", ""Bring back preview""' -> FEATURE_FEEDBACK","'what happened to previewing songs as you drag your finger across your phone?' is structurally near-identical to the guide's own quoted 'What happened to preview?' example, which the guide explicitly assigns to FEATURE_FEEDBACK (removed/changed capability), not APP_TECH_ISSUE.",no: one flip within a 69-example class (APP_TECH_ISSUE)
36,2136520,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 36 in GENERAL_HOW_TO_INFO positive examples (line 369), stating it as GENERAL_HOW_TO_INFO",Guide directly cites this example by number.,
37,249056,APP_TECH_ISSUE,FEATURE_FEEDBACK,MISMATCH,GUIDE_WORKED_EXAMPLE,"APP_TECH_ISSUE Removed/Changed vs Malfunction rule, worked example: '...e.g., ""Did you remove one-song-repeat?""...' -> FEATURE_FEEDBACK","'did you remove the functionality to put one song on repeat?' is a near-verbatim match to the guide's own quoted example 'Did you remove one-song-repeat?', which the guide explicitly assigns to FEATURE_FEEDBACK.",no: one flip within a 69-example class (APP_TECH_ISSUE)
38,1353393,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 38 in FEATURE_FEEDBACK positive examples (line 289), stating it as FEATURE_FEEDBACK",Guide directly cites this example by number.,
39,1277332,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
40,653091,APP_TECH_ISSUE,SUBSCRIPTION_BILLING,POSSIBLE,GUIDE_RULE_GENERAL,APP_TECH_ISSUE Section 3 boundary rule vs SUBSCRIPTION_BILLING/ACCOUNT_ACCESS (Technical flow errors): 'If the customer cannot complete a payment/subscription/entitlement task because of a billing/subscription problem -> SUBSCRIPTION_BILLING',"Customer cannot complete joining a Premium-family-group (a subscription/entitlement task) due to a form error ('something went wrong. Try again'). Plausible SUBSCRIPTION_BILLING basis, but the guide's own worked examples for this rule are specifically about payment/billing-detail pages, not join/invite forms, so genuine ambiguity remains versus reading this as a generic APP_TECH_ISSUE form bug.",no: one flip within a 69-example class (APP_TECH_ISSUE)
41,1935420,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
42,2439893,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
43,303156,ARTIST_SUPPORT,ARTIST_SUPPORT,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 43 in ARTIST_SUPPORT positive examples (line 329), stating it as ARTIST_SUPPORT",Guide directly cites this example by number.,
44,2417730,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 44 in GENERAL_HOW_TO_INFO positive examples (line 365), stating it as GENERAL_HOW_TO_INFO",Guide directly cites this example by number.,
45,1824565,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
46,1934526,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 46 in ACCOUNT_ACCESS positive examples (line 109), stating it as ACCOUNT_ACCESS",Guide directly cites this example by number.,
47,550032,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 47 in FEATURE_FEEDBACK positive examples (line 296), stating it as FEATURE_FEEDBACK",Guide directly cites this example by number.,
48,1858771,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
49,377568,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 49 in UNKNOWN_OTHER diagnostic flags (conversational/closure) (line 406), stating it as UNKNOWN_OTHER",Guide directly cites this example by number.,
50,1335486,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 50 in CONTENT_CATALOG positive examples (line 241), stating it as CONTENT_CATALOG",Guide directly cites this example by number.,
51,1418139,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
52,2056838,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
53,2293861,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
54,2435831,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
55,272733,CONTENT_CATALOG,APP_TECH_ISSUE,POSSIBLE,GUIDE_RULE_GENERAL,"CONTENT_CATALOG boundary rule vs APP_TECH_ISSUE: 'Is the CONTENT wrong/unavailable, or is SPOTIFY malfunctioning while handling it?... exists but won't play/errors when streaming -> APP_TECH_ISSUE'","'sound quality... is awful. Sounds very distorted' could describe a playback/streaming malfunction (APP_TECH_ISSUE) or the track's inherent audio quality/mastering (closer to CONTENT_CATALOG's metadata-correctness scope). The guide has no example specifically covering distorted-audio-quality reports, so this is genuinely underdetermined either way.",no: one flip within a 27-example class (CONTENT_CATALOG)
56,2337256,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 56 in UNKNOWN_OTHER diagnostic flags (ambiguous) (line 405), stating it as UNKNOWN_OTHER",Guide directly cites this example by number.,
57,141193,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
58,1219463,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
59,818318,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
60,2736565,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 60 in ACCOUNT_ACCESS positive examples (line 111), stating it as ACCOUNT_ACCESS",Guide directly cites this example by number.,
61,1098064,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 61 in SUBSCRIPTION_BILLING near-miss examples (line 166), stating it as APP_TECH_ISSUE",Guide directly cites this example by number.,
62,2013099,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
63,2182137,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
64,2038612,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
65,2035595,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
66,370877,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
67,974533,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
68,2407013,SUBSCRIPTION_BILLING,GENERAL_HOW_TO_INFO,POSSIBLE,GUIDE_RULE_GENERAL,SUBSCRIPTION_BILLING boundary rule vs GENERAL_HOW_TO_INFO: 'Asking how something works... -> GENERAL_HOW_TO_INFO' (no specific disputed charge),"'How can it be done?' framing with no stated disputed charge; only constraint mentioned is a non-Spotify-country card. Plausible GENERAL_HOW_TO_INFO basis, but genuinely close since it is specifically about the payment-method mechanism, which is also SUBSCRIPTION_BILLING territory.",no: one flip within a 33-example class (SUBSCRIPTION_BILLING)
69,1279193,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
70,2456257,UNPARSEABLE,,UNRESOLVABLE,NONE,,Row's existing_human_label could not be reliably parsed (see Step 1 parsing rule: no exact match to a frozen label found in the UNKNOWN Subtype Flags or Human Decision / Gold Label columns).,
71,1846518,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
72,2491637,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
73,1635382,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 73 in APP_TECH_ISSUE positive examples (line 196), stating it as APP_TECH_ISSUE",Guide directly cites this example by number.,
74,1828822,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
75,2442939,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
76,2379005,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
77,64363,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 77 in FEATURE_FEEDBACK positive examples (line 290), stating it as FEATURE_FEEDBACK",Guide directly cites this example by number.,
78,141145,UNPARSEABLE,,UNRESOLVABLE,NONE,,Row's existing_human_label could not be reliably parsed (see Step 1 parsing rule: no exact match to a frozen label found in the UNKNOWN Subtype Flags or Human Decision / Gold Label columns).,
79,1950639,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
80,2439896,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 80 in UNKNOWN_OTHER diagnostic flags (context_dependent) (line 408), stating it as UNKNOWN_OTHER",Guide directly cites this example by number.,
81,2580711,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
82,2040413,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 82 in Promotion boundary examples (line 433), stating it as GENERAL_HOW_TO_INFO",Guide directly cites this example by number.,
83,230254,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
84,829613,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
85,1422427,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
86,211066,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
87,318935,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
88,1267518,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
89,1912066,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
90,2064971,FEATURE_FEEDBACK,FEATURE_FEEDBACK,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
91,485500,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 91 in Edge Case 3 examples (line 569), stating it as SUBSCRIPTION_BILLING",Guide directly cites this example by number.,
92,2568709,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
93,2114145,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
94,1770729,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
95,2302297,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
96,2666300,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
97,2267454,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
98,1026515,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
99,1159705,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
100,567967,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
101,1715181,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
102,115349,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
103,2175379,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
104,1779726,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 104 in SUBSCRIPTION_BILLING positive examples (line 161), stating it as SUBSCRIPTION_BILLING; also cited consistently in 1 other place(s)",Guide directly cites this example by number.,
105,486947,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
106,704763,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
107,584173,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
108,1010089,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
109,1930951,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
110,2350994,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 110 in CONTENT_CATALOG positive examples (line 245), stating it as CONTENT_CATALOG; also cited consistently in 1 other place(s)",Guide directly cites this example by number.,
111,1830133,UNKNOWN_OTHER,GENERAL_HOW_TO_INFO,POSSIBLE,GUIDE_RULE_GENERAL,"GENERAL_HOW_TO_INFO 'Use this when' list (post-golden clarification): 'Asking how to redeem or qualify for a Premium-linked benefit or perk (e.g., a concert presale code) with no billing dispute -> GENERAL_HOW_TO_INFO'","'send Majid Jordan presale code pls' is the same presale-code pattern the post-golden clarification was written for (golden-set CAND_0161). Flagged POSSIBLE rather than MISMATCH because this message doesn't explicitly connect the request to a Premium subscription the way the golden example did, so it could still be read as an off-topic personal favor request (its original label).",no: one flip within a 64-example class (UNKNOWN_OTHER)
112,211111,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
113,1897840,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
114,2891289,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
115,1927884,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
116,2219861,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
117,2436519,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
118,802599,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
119,1626590,CONTENT_CATALOG,CONTENT_CATALOG,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
120,1758253,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
121,2857439,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
122,1665434,SUBSCRIPTION_BILLING,GENERAL_HOW_TO_INFO,POSSIBLE,GUIDE_RULE_GENERAL,SUBSCRIPTION_BILLING boundary rule vs GENERAL_HOW_TO_INFO: no specific disputed charge/wrong amount -> GENERAL_HOW_TO_INFO,"Customer describes a receipt/billing-cadence mismatch (billed monthly, receipted quarterly) and asks 'would it be possible that I get a bill every month' -- no disputed amount, more a process/frequency request. Genuinely borderline since it concerns their specific account's billing administration, not a general policy question.",no: one flip within a 33-example class (SUBSCRIPTION_BILLING)
123,1892673,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
124,2572183,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
125,681152,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
126,907453,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 126 in APP_TECH_ISSUE positive examples (line 194), stating it as APP_TECH_ISSUE",Guide directly cites this example by number.,
127,2829075,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 127 in SUBSCRIPTION_BILLING positive examples (line 159), stating it as SUBSCRIPTION_BILLING",Guide directly cites this example by number.,
128,1713932,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
129,1871544,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
130,338710,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
131,2165491,UNKNOWN_OTHER,UNKNOWN_OTHER,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 131 in Edge Case 4 examples (line 594), stating it as UNKNOWN_OTHER",Guide directly cites this example by number.,
132,1293236,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
133,1493487,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
134,695940,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
135,2828705,CONTENT_CATALOG,FEATURE_FEEDBACK,POSSIBLE,GUIDE_RULE_GENERAL,"CONTENT_CATALOG definition: 'concerns the catalog of music/podcasts available on Spotify, not the product's technical functionality'","'why don't you have Top 50 India in your trending charts' -- context shows this is about a chart FEATURE not yet launched in their region, not an individual missing song/album. The guide's CONTENT_CATALOG examples are all about specific missing content; a whole regional chart-feature rollout is arguably closer to a product-feature request. Genuinely novel case not explicitly covered.",no: one flip within a 27-example class (CONTENT_CATALOG)
136,1818125,APP_TECH_ISSUE,APP_TECH_ISSUE,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 136 in APP_TECH_ISSUE positive examples (line 195), stating it as APP_TECH_ISSUE",Guide directly cites this example by number.,
137,2026103,GENERAL_HOW_TO_INFO,GENERAL_HOW_TO_INFO,MATCH,GUIDE_EX_CITATION,"guide cites this example as Ex 137 in GENERAL_HOW_TO_INFO positive examples (line 367), stating it as GENERAL_HOW_TO_INFO",Guide directly cites this example by number.,
138,1965213,ACCOUNT_ACCESS,ACCOUNT_ACCESS,MATCH,NONE,,General guide application found no specific rule or example pointing to a different label.,
